,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2023-10-13,-2.3893,0.1463,1.0000,0.0000,0.2927,1.0000,5.3371,2.9862,2.9478,4.4561,4.8509
2023-10-20,-2.4953,0.4501,1.0000,1.0000,0.9002,1.0000,5.2039,2.9111,2.8812,4.3449,4.7299
2023-10-27,5.8464,0.5873,1.0000,1.0000,1.0000,1.0000,5.5081,3.0813,3.0496,4.5990,5.0064
2023-11-03,1.3619,0.2570,1.0000,0.0000,0.5140,1.0000,5.5831,3.0807,3.0707,4.6616,5.0746
2023-11-10,2.3105,0.2757,1.0000,0.0000,0.5514,1.0000,5.7121,3.0807,3.1098,4.7693,5.1918
2023-11-17,1.0005,0.1136,1.0000,0.0000,0.2272,1.0000,5.7693,3.0807,3.1166,4.8170,5.2438
2023-11-24,0.8346,0.1720,1.0000,0.0000,0.3439,1.0000,5.8174,3.0807,3.1255,4.8572,5.2875
2023-12-01,0.2396,0.1334,1.0000,0.0000,0.2668,1.0000,5.8314,3.0807,3.1275,4.8689,5.3002
2023-12-08,2.3974,0.1434,1.0000,0.0000,0.2868,1.0000,5.9712,3.0807,3.1490,4.9856,5.4273
2023-12-15,0.9205,0.1092,1.0000,0.0000,0.2185,1.0000,6.0261,3.0807,3.1552,5.0315,5.4772
2023-12-22,0.3505,0.1232,1.0000,0.0000,0.2463,1.0000,6.0472,3.0807,3.1580,5.0491,5.4964
2023-12-29,-1.5548,0.0814,1.0000,0.0000,0.1628,1.0000,5.9532,3.0807,3.1499,4.9706,5.4110
2024-01-05,1.8721,0.1125,1.0000,0.0000,0.2251,1.0000,6.0647,3.0807,3.1631,5.0637,5.5123
2024-01-12,1.2063,0.0717,1.0000,0.0000,0.1434,0.0000,6.1378,3.0807,3.1686,5.0626,5.5787
2024-01-19,1.0323,0.1047,1.0000,0.0000,0.2094,1.0000,6.2012,3.0807,3.1754,5.1139,5.6363
